No;Title_Sederhana;Tanggal_Post;tanggal_event;lokasi_event;Latitude;Longitude
1;‼️BIOSKOP TENGAH KOTA KEMBALI‼️;2025-12-03 21:17:13;Tidak Diketahui;Balai Dusun Sosokerep;-7.8867;110.4578
2;EXEFEST dengan bangga mengundang Anda, para pegiat;2025-12-07 18:50:18;Minggu, 21 Desember 2025;Lapangan Pemda Sleman;-7.7208;110.3582
3;🎨 ALL STAR CHALLENGE - Lomba Mewarnai Anak 👦👧;2025-12-07 18:45:31;27 Desember 2024;Lippo Plaza Jogja;-7.784055;110.3906457
4;Caption Festival Of Nggambleh 2025: Absolute Cinem;2025-12-06 23:13:49;️ Tanggal: Sabtu, 27 Desember 2025;Lokasi: Auditorium Universitas Sarjanawiyata Tamansiswa Yogyakarta;-7.8093;110.3837
5;Halo Wellness Seekers! 🌞✨ GOOD NEWS!! Cantavya uda;2025-12-06 21:53:49;Tidak Diketahui;Pengilon Café;-7.7347;110.3996
6;JOGJA, GILIRAN KAMU SEKARANG! 🎭🔥;2025-12-06 20:46:54;Tidak Diketahui;Tidak Diketahui;;
7;🔥 *CLASH OF DISCOURSECOM UNRIYO 2026 — ARE YOU REA;2025-12-06 16:09:08;*Pendaftaran: 19 November 2025 – 1 Januari 2026*;Lokasi Acara*;;
8;🚨;2025-12-06 13:41:18;Tidak Diketahui;Balai Utari Gedung Mandala Bakti Wanita Tama;-7.783611;110.393333
9;JOGJA, GILIRAN KAMU SEKARANG! 🎭🔥;2025-12-05 18:19:05;Tidak Diketahui;Tidak Diketahui;;
10;Let The Games Begin!;2025-12-05 17:26:09;Tidak Diketahui;Tidak Diketahui;;
11;Jogja siap sehat bareng?! 🔥;2025-12-05 15:44:51;7 Desember • ⏰ 07.00;Bigland Napolly Jogja;-7.8101;110.3957
12;Bazar buku Out of the Boox ada di Yogyakarta!;2025-12-05 15:07:45;Tidak Diketahui;Mizan Media Utama (Sleman;-7.7289;110.4042
13;✨ Drama Musikal Sound of Nusantara;2025-12-05 13:40:11;December 12th, 2025;Online;-7.8157412;110.351417
14;✨👛CRAFT YOUR OWN POUCH CHARM!👛✨;2025-12-05 11:30:59;Minggu, 14 Desesember 2025;Online;-7.8157412;110.351417
15;🎅✨ Get Ready to Go Santa Factory Parade! ✨🎅;2025-12-04 18:38:15;️20 & 21 Desember 2025!;Tidak Diketahui;;
16;✨*Kenapa Banyak Yang Menikah, Tapi Tak Banyak Bert;2025-12-04 18:17:19;️ Tanggal : Ahad, 7 Desember 2025;Zoom;;
17;🚨;2025-12-04 18:15:15;Tidak Diketahui;Balai Utari Gedung Mandala Bakti Wanita Tama;-7.783611;110.393333
18;SAATNYA VIDEOMU JADI JUARA!⁣;2025-12-04 18:14:22;Tidak Diketahui;Online;-7.8157412;110.351417
19;Caption Festival Of Nggambleh 2025: Absolute Cinem;2025-12-04 18:05:15;️ Tanggal: Sabtu, 27 Desember 2025;Lokasi: Auditorium Universitas Sarjanawiyata Tamansiswa Yogyakarta;-7.799732;110.370535
20;[REGISTRATION EXTENDED!!!];2025-12-04 17:37:48;Tidak Diketahui;Tidak Diketahui;;
21;🌏✨ INTERNATIONAL JOGJAKARFES 2025 ✨;2025-12-04 09:00:15;Friday, December 5th, 2025;Online;-7.8157412;110.351417
22;🎟️ OPEN REGISTRATION NORMAL PRICE & BUNDLING ASTA;2025-12-03 21:03:36;Tidak Diketahui;Tidak Diketahui;;
23;PENDAFTARAN DUTA BUDAYA DIY 2026 RESMI DIPERPANJAN;2025-12-03 20:58:16;Tidak Diketahui;Tidak Diketahui;;
24;✨*Kenapa Banyak Yang Menikah, Tapi Tak Banyak Bert;2025-12-03 19:28:21;️ Tanggal : Ahad, 7 Desember 2025;Zoom;;
25;*DESEMBER DELIGHT HOLIDAY*🎄🪄;2025-12-03 18:00:08;15-27 Desember 2025. Belajar fun, aktif, dan penuh kegiatan seru🎉;https://maps.app.goo.gl/soW2Je51XZgnqpZw7;;
26;✨INDEX 2025 HAS ARRIVED!✨;2025-12-03 13:09:23;Date: 05 December 2025;Venue: Engineering Research and Innovation Center (ERIC;-7.772591;110.376829
27;Pakar Jiwa merupakan wadah katarsis untuk membuka;2025-12-02 21:32:43;𝐓𝐚𝐧𝐠𝐠𝐚𝐥 : 6–7 Desember 2025.;𝐓𝐞𝐦𝐩𝐚𝐭 : Taman Budaya Embung Giwangan;-7.828882;110.384232
